x,y
0.3019,0.8243
0.2934,0.8189
0.2851,0.8134
0.2769,0.8076
0.2689,0.8016
0.2610,0.7955
0.2533,0.7891
0.2458,0.7825
0.2385,0.7757
0.2313,0.7687
0.3820,0.6980
0.3873,0.7031
0.3927,0.7081
0.3982,0.7130
0.4039,0.7177
0.4097,0.7223
0.4156,0.7267
0.4216,0.7309
0.4278,0.7350
0.4340,0.7389
0.4404,0.7427
0.4468,0.7463
0.4533,0.7497
0.4599,0.7530
0.4666,0.7560
0.4734,0.7589
0.4803,0.7616
0.4872,0.7642
0.4942,0.7665
0.5012,0.7687
0.5083,0.7707
0.5155,0.7725
0.5227,0.7741
0.5299,0.7755
0.5372,0.7767
0.5445,0.7777
0.5518,0.7786
0.5591,0.7792
0.5665,0.7797
0.5739,0.7799
0.5812,0.7800
0.5886,0.7799
0.5960,0.7795
0.6033,0.7790
0.6107,0.7783
0.6180,0.7774
0.6253,0.7763
0.6325,0.7750
0.6397,0.7736
0.6469,0.7719
0.6541,0.7700
0.6611,0.7680
0.6682,0.7658
0.6751,0.7633
0.6820,0.7608
0.6889,0.7580
0.6956,0.7550
0.7023,0.7519
0.7089,0.7486
0.7154,0.7451
0.7218,0.7415
0.7281,0.7376
0.7343,0.7337
0.7404,0.7295
0.7464,0.7252
0.7522,0.7208
0.7580,0.7162
0.7636,0.7114
0.7691,0.7065
0.7745,0.7014
0.7797,0.6962
0.7848,0.6909
0.7898,0.6855
0.7946,0.6799
0.7992,0.6742
0.8037,0.6683
0.8081,0.6624
0.8123,0.6563
0.8163,0.6502
0.8202,0.6439
0.8239,0.6375
0.8274,0.6310
0.8308,0.6245
0.8340,0.6178
0.8370,0.6111
0.8398,0.6043
0.8425,0.5974
0.8450,0.5905
0.8473,0.5835
0.8494,0.5764
0.8513,0.5693
0.8530,0.5621
0.8546,0.5549
0.8559,0.5477
0.8571,0.5404
0.8580,0.5331
0.8588,0.5258
0.8594,0.5184
0.8598,0.5111
0.8600,0.5037
0.8600,0.4963
0.8598,0.4889
0.8594,0.4816
0.8588,0.4742
0.8580,0.4669
0.8571,0.4596
0.8559,0.4523
0.8546,0.4451
0.8530,0.4379
0.8513,0.4307
0.8494,0.4236
0.8473,0.4165
0.8450,0.4095
0.8425,0.4026
0.8398,0.3957
0.8370,0.3889
0.8340,0.3822
0.8308,0.3755
0.8274,0.3690
0.8239,0.3625
0.8202,0.3561
0.8163,0.3498
0.8123,0.3437
0.8081,0.3376
0.8037,0.3317
0.7992,0.3258
0.7946,0.3201
0.7898,0.3145
0.7848,0.3091
0.7797,0.3038
0.7745,0.2986
0.7691,0.2935
0.7636,0.2886
0.7580,0.2838
0.7522,0.2792
0.7464,0.2748
0.7404,0.2705
0.7343,0.2663
0.7281,0.2624
0.7218,0.2585
0.7154,0.2549
0.7089,0.2514
0.7023,0.2481
0.6956,0.2450
0.6889,0.2420
0.6820,0.2392
0.6751,0.2367
0.6682,0.2342
0.6611,0.2320
0.6541,0.2300
0.6469,0.2281
0.6397,0.2264
0.6325,0.2250
0.6253,0.2237
0.6180,0.2226
0.6107,0.2217
0.6033,0.2210
0.5960,0.2205
0.5886,0.2201
0.5812,0.2200
0.5739,0.2201
0.5665,0.2203
0.5591,0.2208
0.5518,0.2214
0.5445,0.2223
0.5372,0.2233
0.5299,0.2245
0.5227,0.2259
0.5155,0.2275
0.5083,0.2293
0.5012,0.2313
0.4942,0.2335
0.4872,0.2358
0.4803,0.2384
0.4734,0.2411
0.4666,0.2440
0.4599,0.2470
0.4533,0.2503
0.4468,0.2537
0.4404,0.2573
0.4340,0.2611
0.4278,0.2650
0.4216,0.2691
0.4156,0.2733
0.4097,0.2777
0.4039,0.2823
0.3982,0.2870
0.3927,0.2919
0.3873,0.2969
0.3820,0.3020
